uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16,answer.17,answer.18,answer.19,answer.20,answer.21,answer.22,answer.23,answer.24,answer.25,answer.26,answer.27,answer.28,answer.29,answer.30,answer.31,answer.32,answer.33,answer.34,answer.35,answer.36,answer.37,answer.38,answer.39,answer.40,answer.41,answer.42,answer.43,answer.44,answer.45,answer.46,answer.47,answer.48,answer.49,answer.50,answer.51,answer.52,answer.53,answer.54,answer.55,answer.56,answer.57,answer.58,answer.59,answer.60,answer.61,answer.62,answer.63,answer.64,answer.65,answer.66,answer.67,answer.68,answer.69,answer.70,answer.71,answer.72,answer.73,answer.74,answer.75,answer.76,answer.77,answer.78,answer.79,answer.80,answer.81,answer.82,answer.83,answer.84,answer.85,answer.86,answer.87,answer.88,answer.89,answer.90,answer.91,answer.92,answer.93,answer.94,answer.95,answer.96,answer.97,answer.98,answer.99,answer.100,answer.101,answer.102,answer.103,answer.104,answer.105,answer.106,answer.107,answer.108,answer.109,answer.110,answer.111,answer.112,answer.113,answer.114,answer.115,answer.116,answer.117,answer.118,answer.119,answer.120,answer.121,answer.122,answer.123,answer.124,answer.125,answer.126,reference-term-source,reference-term-code,reference-term-relationship,,,,,,,,,
,Frequency,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ss, Site",,Misc,Site,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Duration,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Complication,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No Complication,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Achieved,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Partially Achieved,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Infected sinusectomy,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debridement of bone,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNOMED CT,SCTD: 46211007,SAME-AS,,,,,,,,,
,Early bone malalignment,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delayed union,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Implant Failure,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Post operative nerve impairment,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HAI apart of Osteomyelitis,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pin loosening,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pin track infection in the project,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stress gastric ulcer,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stress gastric ulcer with bleeding,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bedsores,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Osteomyelitis, post-operative",,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No Surgery Planned,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Not Achieved,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SFP, Early Follow-up",Amputation - Determined During the treatment course (surgery and follow-up),finding,Early Follow-up,coded,,,,,,,As per planned surgical objectives,Patient requires amputation,Partial achievement of objective,Complications developed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SFP, Partial achievement of objective",,finding,Partial achievement of objective,coded,,,,,,,Further surgery needed,No further surgery needed,Unclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SFP, Complications developed",,finding,Complications developed,coded,,,,,,,Did not effect the results of flow,Increased LOS and / or required further surgeries,Serious Complications led to mortality or deterioration of patient condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,113924,SAME-AS,,,,,,,,,
,"SFP, Type of complications",,finding,Type of complications,coded,,,,,,,Acute Kidney Injury,Anemia due to acute blood loss,Anaesthetic complication in OT,Antibiotic Adverse Reaction,Early bone malalignment,Delayed union,Cardiac Arrhythmia,Cellutlits,Death,Deep Venous Thrombosis,Flap Necrosis,Heart Failure,"Hematoma, surgical site",Iatrogenic Fracture,Implant Failure,"Implant Removal, unintended",Limb ischemia,"Myocardial Infarction, peri-operative",Post operative nerve impairment,"Osteomyelitis, post-operative",HAI apart of Osteomyelitis,Other,PICC line occlusion,PICC-related DVT,PICC-related Thrombophlebitis,Pin loosening,Pin track infection in the project,"Pneumonia, post-operative",Pressure ulcer,Pulmonary Embolus,Seroma without infection,Skin Graft failure,Stress gastric ulcer,Stress gastric ulcer with bleeding,Bedsores,Stroke,Tissue Expander infection,Unanticipated Return to Surgery within 3 days,Vascular Injury,Wound Dehiscence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SFP, Planned Procedure (surgical)",,finding,Planned Procedure (surgical),coded,,,,,,,Advancement of flap,Amputation,Reamputation of stump,Revision of amputation stump,Secondary closure of stump,Trimming of stump,Application of an external fixation device,Application of back slab,Application of cast,Arthrodesis of other and unspecified joints,Arthrolysis,Axial Flap,Biopsy of bone of other and unspecified site,Biopsy of joint structure of other and unspecified site,Bone graft / Osteoclasis,Bone lengthening,Capsulectomy procedure,Change of dressing,Change or adjustment of external fixation device / Management of an external fixation device,"Closed biopsy of skin and subcutaneous cell tissue, site not specified",Commissuroplasty,Coronoidectomy ,Delayed suture of wound,Dermabrasion,Division of flap,Excision of peripheral neuroma,"Excisional debridement of wound, infection, or burn",Exploration of nerve,Fascial sling for facial weakness,Filling of segmental defect by bone transport,Fixation of fracture using pins,Frontal sinusectomy,Full thickness skin graft,Grafting of cartilage,Injection of steroid,Insertion of peripherally inserted central catheter,Insertion of tissue expander,Insertion or replacement of (cement) spacer,Insertion/Removal of Drain or Tube,Integra skin graft,Internal fixation using intramedullary nail,Internal fixation using plate,Internal fixation using screw,Internal fixation using wire,Interpolation / regional flap,Joint capsulodesis,Local rotation flap,Local subcutaneous pedicled V-Y flap,Lysis of adhesions of tendon / tenolysis,Manipulation under anesthesia,Nerve block,Nerve graft,Neurorrhaphy / suture of nerve,"Open biopsy of soft tissue, not elsewhere classified",Osteotomy,Other skeletal traction,Paranasal sinusectomy,Partial thickness skin graft,Peripheral nerve or ganglion decompression or lysis of adhesions,Peripheral vascular shunt or bypass,Plaster of Paris,Plastic repair by z plasty,Prosthetic dental implant / Endosseous dental implant,Reconstruction procedure,Reconstruction with free flap,Reconstruction with local flap,Release [excision] scar contracture,Removal of an external fixation device,Removal of external fixator pin,Removal of foreign body or device from skin and subcutaneous cell tissue,Removal of K-wire,Removal of nail,Removal of plate from bone,Removal of screws from bone,"Removal of sutures (clips etc.), skin",Removal of tissue expander from skin or soft tissue,Repair of tendon,Revision of scar,Sequestrectomy,"Sinusectomy, maxillary",Skin flap operation,Skin graft operation,"Specimen collection for microbiology, swab",Surgical extraction of tooth,Tendon graft,Tendon release,Tendon transfer or transplantation,Tenorrhaphy / suture of tendon,Thinning of skin flap,Wound drainage,X-plasty,Infected sinusectomy,Debridement of bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SFP, Site of surgical procedure",,finding,Site of surgical procedure,coded,,,,,,,"Site, Eye","Site, Ear","Site, Nose","Site, Mouth","Site, Cheek","Site, Chin","Site, Scalp","Site, Neck","Site, Face","Site, Finger","Site, Breast","Site, Trunk","Site, Groin","Site, Toe","Site, Shoulder","Site, Axilla","Site, Arm","Site, Elbow","Site, Forearm","Site, Wrist","Site, Hand","Site, Gluteal","Site, Hip","Site, Thigh","Site, Knee","Site, Leg","Site, Ankle","Site, Foot",Humerus proximal,Humerus shaft,Humerus distal,Radius proximal,Radius shaft,Radius distal,Ulna proximal,Ulna shaft,Ulna distal,Carpal,Metacarpals,Phalanges,Hip joint,Femur proximal,Femur shaft,Femur distal,Tibia proximal,Tibia shaft,Tibia distal,Fibula proximal,Fibula shaft,Fibula distal,"Site, Median","Site, Ulnar","Site, Brachial plexus","Site, Radial","Site, Axillary","Site, Sciatic","Site, Tibial","Site, Craniofacial","Site, Mid-face excl. orbit","Site, Orbit","Site, Mandible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SFP, Side of surgical procedure",,finding,Side of surgical procedure,coded,,,,,,,Left,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SFP, Est Hours",,finding,Est Hrs,Numeric,,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SFP, Est Minutes",,finding,Est Mins,Numeric,,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SFP, Surgical summary",,finding,Surgical summary,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SFP, As planned",,finding,As planned,coded,,,,,,,Frequency,"Ss, Site",Duration,No Complication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SFP, Deviation",To have as basis for the follow-up meaning,finding,Deviation,coded,,,,,,,Frequency,"Ss, Site",Duration,Complication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SFP, Reason for Deviation",,finding,Reason for Deviation,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SFP, Medical Objectives",,finding,Medical Objectives,coded,,,,,,,Achieved,Partially Achieved,Not Achieved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SFP, Operational Objectives",,finding,Operational Objectives,coded,,,,,,,Achieved,Partially Achieved,Not Achieved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diabetes,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,URI symptoms,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"N/V, Diarrhea",,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Poor appetite,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physio BL,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physio Other,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antibiotics,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dressings,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Neuropathic pain,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"OMF, Chief complaint",,finding,Chief complaint,Coded,,,,,,,Pain,Diabetes,Hypertension,URI symptoms,Heartburn,"N/V, Diarrhea",Rash,Cough,Poor appetite,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"OMF, Other chief complaint",,finding,Other chief complaint,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"OMF, History of present illness",,finding,History of present illness,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
