uuid,name,description,class,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26,Child.27,child.28,child.29,child.30,child.31,child.32,child.33,child.34,child.35,child.36,child.37,child.38,child.39,child.40,child.41,child.42,child.43,child.44,child.45,child.46,child.47,child.48,child.49,child.50,child.51,child.52,child.53,child.54,child.55,child.56,child.57,child.58,child.59,child.60,child.61,child.62,child.63,child.64,datatype,reference-term-source,reference-term-code,reference-term-relationship
,"AIA, History",,Misc,History,"AIA, Previous Anaesthesia history","AIA, Adverse reaction to anaesthesia","AIA, Comments about adverse reaction","AIA, Personal history of blood transfusion","AIA, Did an incident occur during previous blood transfusion","AIA, Describe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"AIA, Clinical Examination",,Misc,Clinical Examination,"AIA, Mallampati class","AIA, ASA score","AIA, Planned anaesthesia technique ","AIA, Remarks-anaesthetist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"AIA, Orders",,Misc,Orders,"AIA, Pre-anaesthesia orders","AIA, Comments about other lab orders","AIA, Outcome of anaesthesia initial assessment","AIA, I discussed the risks and benefits of anaesthesia and answered all questions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Initial Anesthesia Assessment,,Convset,Anesthesia Initial Assessment,"AIA, Date of consultation","AIA, History","AIA, Clinical Examination","AIA, Orders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"PIA, History of Patient",,Misc,History of Patient,"PIA, Past history of psychological or counselling care for patient","PIA, By who (NGO / private) ccp","PIA, Past history of psychological or counselling care of family member","PIA, By who (NGO / private) ccf","PIA, Past history of psychiatric care for patient","PIA, By who (NGO / private) pcp","PIA, Past history of psychiatric care of family member","PIA, By who (NGO / private) pcf","PIA, History of psychotropic drugs","PIA, Drug ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"PIA, Indicators",,Misc,Indicators,"PIA, SQR20 (score)","PIA, PTSD (score)","PIA, PSYca 3-6 (child)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"PIA, Findings",,Misc,Findings,"PIA, Needed Mental Health Support","PIA, Comments from counsellor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Psychology initial assessment,,Convset,Psycho-Social Initial Assessment,"PIA, Date of consultation","PIA, Future expectations about care plan","PIA, Comments about expectations","PIA, History of Patient","PIA, Indicators","PIA, Findings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"PHIA, Level of Amputation",,Convset,Level of Amputation,"PHIA, Type of amputation","PHIA, Side of amputation","PHIA, Comments about amputation","PHIA, Is the patient coming with a prostheses?","PHIA, Comment about prostheses usage","PHIA, Is there a need of new prosthesis or modification","PHIA, Comment about new prosthesis or modification","PHIA, Comment about new prosthesis or modification",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"PA, Location of Assessment",,Misc,Location of Assessment,"PHIA, Location of assessment","PHIA, Upper extremity functional index (>18 years)","PHIA, Neuro QOL upper limb (<18 years)","PHIA, Basic grip test","PHIA, Lower extremity functional index (>18 years)","PHIA, Neuro QOL lower limb (<18 years)","PHIA, Tinetti ","PHIA, Functional evaluation of mouth","PHIA, Muscle power test (MMT)","PHIA, Mouth opening test","PHIA, Physiotherapy remarks initial assessment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Physio Initial Assessment Video,,Misc,Physio Initial Assessment Video,Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Physiotherapy initial assessment,,Convset,Physiotherapy Initial Assessment,"PHIA, Date of consultation","PHIA, Grooming","PHIA, Feeding","PHIA, Dressing","PHIA, Toilet use","PHIA, Transfers","PHIA, Stairs","PHIA, Mobility","PHIA, Does the patient use an assistive device or orthosis?","PHIA, Type of assistive device or orthosis","PHIA, Other type of assistive device","PHIA, Comments about assistive device or orthosis","PHIA, Amputee patient?","PHIA, Level of Amputation","PA, Location of Assessment",Physio Initial Assessment Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"SAP, Injury Site",,Misc,Injury Site,"SAP, Site of injury","SAP, Side of injury","SAP, Condition of soft tissue at presentation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"SAP, Planned procedure data",,Concept Details,Planned procedure,"SAP, Planned procedure (surgical)","SAP, Non-coded Planned procedure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"SAP, Planned Surgical procedures",,Misc,Planned Surgical procedures,"SAP, Planned procedure data","SAP, Site of surgical procedure","SAP, Side of surgical procedure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"SAP, Treatment Plan",,Misc,Treatment Plan,"SAP, Initial general plan","SAP, Objectives of physiotherapy","SAP, Anatomical site",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"SAP, Surgical Objectives for Patient",,Misc,Surgical Objectives for Patient,"SAP, Surgical objective","SAP, Side of surgical objective","SAP, Site of surgical objective","SAP, Comments of uncertainty","SAP, Comments about sugical objectives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SAP, Length of Plan",,Misc,Length of Plan,"SAP, Frequency of Operations","SAP, Estimated number of surgeries","SAP, Sites (donor areas excluded)","SAP, Spacing between surgeries","SAP, Estimated length of stay","SAP, Does the patient need further admissions","SAP, Investigations needed","SAP, Need consultations","SAP, Other consultation needed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Surgeon Pre-Op Assessment and Treatment Plan,,Convset,Surgeon Pre-Op Assessment & Tx Plan,"SAP, Date of consultation","SAP, Injury Site","SAP, Planned Surgical procedures","SAP, Surgical summary",Treatment Plan,"SAP, Surgical Objectives for Patient",Length of Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"MD, Surgical Procedures Performed Outside AMH Data",,Concept Details,Surgical procedures performed outside AMH,"MD, Procedures performed outside AMH","MD, Non-Coded Procedures performed outside AMH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"MD, Surgical Procedures Outside AMH",,Misc,Surgical Procedures Outside AMH,"MD, Surgical Procedures Performed Outside AMH Data","MD, Site of procedure","MD, Side of procedure","MD, Comment of procedure","MD, Date of procedure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"MD, History of Fixation",,Misc,History of Fixation,"MD, Type of previous fixation","MD, Type of internal fixation","MD, Duration of External fixation","MD, Other type of fixation","MD, HIstory of infection","MD, Comments about previous infection","MD, Discharging sinus","MD, Duration of discharging sinus","MD, Bone Loss","MD, Cm of bone loss",United fracture,"MD, Shortening","MD, cm of shortening",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"MD, History - Review of Systems",,Misc,HIstory - Review of Systems,"MD, Review of systems, general","MD, Description and duration of symptom (general)","MD, Other ROS general symptoms","MD, Review of systems, cardiopulmonary","MD, Description and duration of symptom (cardiopulmonary)","MD, Other ROS cardiopulmonary symptoms","MD, Review of systems, gastrointestinal","MD, Description and duration of symptom (gastrointestinal)","MD, Other ROS gastrointestinal symptoms","MD, Review of systems, genitourinary","MD, Description and duration of symptom (genitourinary)","MD, Other ROS genitourinary symptoms","MD, Review of systems, central nervous system","MD, Description and duration of symptom (central nervous system)","MD, Other ROS central nervous system symptoms","MD, Review of systems, HEENT","MD, Description and duration of symptom (HEENT)","MD, Other ROS HEENT symptoms","MD, Review of systems, musculoskeletal","MD, Description and duration of symptom (musculoskeletal)","MD, Other ROS musculoskeletal symptoms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,MD Initial Assessment,,Convset,MD Initial Assessment,"MD, Date of consultation","MD, Chief complaint","MD, History of present illness","MD, Associated neural injury","MD, Comments (neural injury)","MD, Associated vascular injury","MD, Comments (vascular injury)","MD, Function of injured part","MD, Sensation of injured part","MD, History of previous surgery","MD, Surgical Procedures Outside AMH","MD, History of Fixation",HIstory - Review of Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Physical Examination,,Convset,Physical Examination,"PE, General examination","PE, HEENT examination","PE, Chest examination","PE, Heart examination","PE, Abdomen examination","PE, Rectal and genitalia examination","PE, Extremities examination","PE, Neurologic examination",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Surgical Diagnosis Data,,Concept Details,Surgical Diagnosis,"DIA, Surgical Diagnosis coded","DIA, Surgical Diagnosis non coded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Surgical Diagnosis Section,,Misc,Surgical Diagnosis,Surgical Diagnosis Data,"DIA, Site","DIA, Side",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"OBS, Surgical Diagnoses",,Convset,Surgical Diagnoses,Surgical Diagnosis Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Medical Diagnosis Data,,Concept Details,Medical Diagnosis,"DIA, Medical Diagnosis coded","DIA, Medical Diagnosis non coded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"OBS, Medical Diagnoses",,Convset,Medical Diagnoses,Medical Diagnosis Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Nursing Needs - Ward,,Convset,Nursing Needs - Ward,"Nw, Date recorded","NW, Draining wound(s)?","NW, IV/IM needed?","NW, Twice daily Physiotherapy","NW, Non-ambulatory?","NW, Special needs?","NW, Injection (subcutaneous)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
