uuid,name,description,class,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26,Child.27,child.28,child.29,child.30,child.31,child.32,child.33,child.34,child.35,child.36,child.37,child.38,child.39,child.40,child.41,child.42,child.43,child.44,child.45,child.46,child.47,child.48,child.49,child.50,child.51,child.52,child.53,child.54,child.55,child.56,child.57,child.58,child.59,child.60,child.61,child.62,child.63,child.64,datatype,reference-term-source,reference-term-code,reference-term-relationship
,Ward Nursing Note,,Convset,Ward Nursing Note,"WWN, Date recorded","WWN, Vital Signs","WWN, Pain Assessment","WWN, Does the patient have a drain?","WWN, Drainage Set","WWN, Change Position","WWN, Does the patient have a dressing?","WWN, Dressing","WWN, Does the patient have a peripheral line?","WWN, Site of peripheral line","WWN, Date of insertion, peripheral line","WWN, Date of removal, peripheral line","WWN, Comments, peripheral line","WWN, Does the patient have a PICC line?","WWN, Date of insertion, PICC line","WWN, Date of dressing","WWN, Comments, dressing PICC line","WWN, Date of removal, PICC line","WWN, Does the patient have a tissue expander?","WWN, Tissue Expander","WWN, Nursing consultation notes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"POW, Vital Signs",,Misc,Vital Signs,"POW, Oxygen","POW, Blood oxygen saturation","POW, Respiration rate","POW, Pulse","POW, Systolic blood pressure","POW, Diastolic blood pressure","POW, Temperature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POW, Pain Assessment",,Misc,Pain Assessment,"POW, Pain Severity","POW, Side of pain","POW, Site of pain","POW, Type of pain","POW, When does the pain occur ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"POW, Dressing",,Misc,Dressing,"POW, Side of dressing","POW, Site of dressing","POW, Description of wound","POW, Description of wound, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"POW, Drainage Set",,Misc,Drainage,"POW, Side of drain","POW, Site of drain","POW, Drainage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Post-Op Ward Monitoring,,Convset,Post-Op Ward Monitoring,"POW, Date recorded","POW, Consciousness","POW, Vital Signs","POW, Pain Assessment","POW, Nausea","POW, Vomiting","POW, Dressing","POW, Urine","POW, Does the patient have a drain?","POW, Drainage Set","POW, Patient Position",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ANA, Vital Signs",,Misc,Vital Signs,"ANA, Temperature","ANA, Pulse","ANA, Respiratory rate","ANA, Systolic blood pressure","ANA, Diastolic blood pressure","ANA, Blood oxygen saturation","ANA, Blood glucose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ANA, Pain Assessment",,Misc,Pain Assessment,"ANA, Pain Severity","ANA, Side of pain","ANA, Site of pain","ANA, Type of pain","ANA, When does the pain occur ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ANA, Psychosocial",,Misc,Psychosocial,"ANA, Patient mood","ANA, Patient mood, other","ANA, Does the patient have suicidal or depressive thoughts?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ANA, Wound Assessment",,Misc,Wound Assessment,"ANA, Number of wounds","ANA, Site of wound","ANA, Description",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Surgical Ward Admission Nursing Assessment,,Convset,Surgical Ward Admission Nursing Assessment,"ANA, Date recorded","ANA, Reason for admission","ANA, Reason for admission, other","ANA, Vital Signs","ANA, Pain Assessment","ANA, Psychosocial","ANA, Wound Assessment","ANA, Nutritional Assessment","ANA, Nutritional Assessment, other","ANA, Admission Nursing Notes","ANA, Orientation of the patient",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ONN, Vital Signs",,Misc,Vital Signs,"ONN, Temperature","ONN, Pulse","ONN, Respiratory rate","ONN, Systolic blood pressure","ONN, Diastolic blood pressure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ONN, Pain Assessment",,Misc,Pain Assessment,"ONN, Pain Severity","ONN, Side of pain","ONN, Site of pain","ONN, Type of pain","ONN, When does the pain occur ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ONN, Dressing",,Misc,Dressing,"ONN, Side of dressing","ONN, Site of dressing","ONN, Description of wound","ONN, Description of wound, other","ONN, Dressing, comments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ONN, Tissue Expander",,Misc,Tissue Expander,"ONN, Site of tissue expander","ONN, Quantity injected","ONN, Quantity withdrawn","ONN, Total volume in tissue expander","ONN, Condition of tissue expander",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,OPD Nursing Note,,Convset,OPD Nursing Note,"ONN, Date recorded","ONN, Vital Signs","ONN, Pain Assessment","ONN, Does the patient have a dressing?","ONN, Dressing","ONN, Does the patient have a tissue expander?","ONN, Tissue Expander","ONN, Nursing consultation notes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
