uuid,name,description,class,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26,child.27,child.28,child.29,child.30,child.31,child.32,child.33,child.34,child.35,child.36,child.37,child.38,child.39,child.40,child.41,child.42,child.43,child.44,child.45,child.46,child.47,child.48,child.49,child.50,child.51,child.52,child.53,child.54,child.55,child.56,child.57,child.58,child.59,child.60,child.61,child.62,child.63,child.64,datatype,reference-term-source,reference-term-code,reference-term-relationship
,Pain Nurse Follow-up,To be used for follow-up of patients by the pain practitioner nurse,ConvSet,Pain Nurse Follow-up,"PNF, Date recorded","PNF, Type of pain experienced by the patient","PNF, Nociceptive pain","PNF, Questionnaire DN4","PNF, Side of pain","PNF, Site of pain","PNF, Site of pain, other","PNF, Chief complaint of patient","PNF, Is the pain:","PNF, Onset of the pain:","PNF, Current medication","PNF, Pain usually occurs with:","PNF, Dressing","PNF, Comments about physiotherapy","PNF, Other times pain is occurring","PNF, Increasing or decreasing factors:","PNF, Referral needed:","PNF, Other comments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SFP, Follow-up needs, Left",,Misc,Document requested,"SFP,  X-ray at: ","SFP,  Video after:","SFP,  Photo after: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SFP, Follow-up needs, Right",,Misc,Site,"SFP, X-ray of:","SFP, Video of:","SFP, Photo of:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SFP, Follow-up needs",,Misc,Follow-up needs,"SFP, Follow-up needs, Left","SFP, Follow-up needs, Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"FP, Follow-up needs",,Misc,Follow-up needs,"SFP,  MLO visit at:","SFP, Notes, other ","SFP, Follow-up needs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"LLA, Independence of Patient",,Misc,Independence of Patient,"LLA, Grooming","LLA, Feeding","LLA, Dressing","LLA, Toilet use","LLA, Transfers","LLA, Stairs","LLA, Mobility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Stump circumference",,Misc,Stump circumference,"LLA, From","LLA, cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Level of amputation",,Misc,Level of amputation,"LLA, Type of amputation","LLA, Other type of amputation","LLA, Side of amputation","LLA, Stump circumference","LLA, Comments about stump","LLA, Is the patient using a prostheses?","LLA, Comments about prostheses usage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Leg Length Discrepancy (LLD)",,Misc,Leg Length Discrepancy (LLD),"LLA, True (reference point)","LLA, Functional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Pain Assessment",,Misc,Pain Assessment,"LLA, Pain Severity","LLA, Side of pain","LLA, Site of pain","LLA, Site, Other","LLA, Type of pain","LLA, When does the pain occur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, R.O.M Test for Lower Limbs Left",,Misc,Left,"LLA ROM, Left : Hip flex.","LLA ROM, Left : Hip ext.","LLA ROM, Left : Int. Rotation","LLA ROM, Left : Ext. Rotation","LLA ROM, Left : Abduction","LLA ROM, Left : Adduction","LLA ROM, Left : Knee flex.","LLA ROM, Left : Knee ext.","LLA ROM, Left : Ankle dorsiflex.","LLA ROM, Left : Ankle planterflex","LLA ROM, Left : Ankle inversion","LLA ROM, Left : Ankle eversion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, R.O.M Test for Lower Limbs Right",,Misc,Right,"LLA ROM, Right : Hip flex.","LLA ROM, Right : Hip ext.","LLA ROM, Right : Int. Rotation","LLA ROM, Right : Ext. Rotation","LLA ROM, Right : Abduction","LLA ROM, Right : Adduction","LLA ROM, Right : Knee flex.","LLA ROM, Right : Knee ext.","LLA ROM, Right : Ankle dorsiflex.","LLA ROM, Right : Ankle planterflex","LLA ROM, Right : Ankle inversion","LLA ROM, Right : Ankle eversion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, R.O.M Test for Lower Limbs",,Misc,R.O.M Test for Lower Limbs,"LLA, R.O.M Test for Lower Limbs Left","LLA, R.O.M Test for Lower Limbs Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Sensation",,Misc,Sensation,"LLA, Summary neurological examination (sensation)","LLA, Summary neurological examination (sensation), comments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Superior gluteal Left",,Misc,Left,"LLA, Left : Gluteus medius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Superior gluteal Right",,Misc,Right,"LLA, Right : Gluteus medius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Superior gluteal",,Misc,Superior gluteal,"LLA, Superior gluteal Left","LLA, Superior gluteal Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Inferior gluteal, Left",,Misc,Left,"LLA, Left : Gluteus maxi.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Inferior gluteal, Right",,Misc,Right,"LLA, Right : Gluteus maxi.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Inferior gluteal",,Misc,Inferior gluteal,"LLA, Inferior gluteal, Left","LLA, Inferior gluteal, Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Femoral Left",,Misc,Left,"LLA, Left : Quadriceps","LLA, Left : Illiopsoas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Femoral Right",,Misc,Right,"LLA, Right : Quadriceps","LLA, Right : Illiopsoas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Femoral",,Misc,Femoral,"LLA, Femoral Left","LLA, Femoral Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Obturator, Left",,Misc,Left,"LLA, Left : Adductors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Obturator, Right",,Misc,Right,"LLA, Right : Adductors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Obturator",,Misc,Obturator,"LLA, Obturator, Left","LLA, Obturator, Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Peronial Left",,Misc,Left,"LLA, Left : Tibialis anterior","LLA, Left : Peron. long. brev","LLA, Left : Ext. digitorum","LLA, Left : Ext. hallucis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Peronial Right",,Misc,Right,"LLA, Right : Tibialis anterior","LLA, Right : Peron. long. Brev","LLA, Right : Ext. digitorum","LLA, Right : Ext. hallucis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Peronial",,Misc,Peronial,"LLA, Peronial Left","LLA, Peronial Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Tibial nerve Left",,Misc,Left,"LLA, Left : Gastrocnemius","LLA, Left : Tibialis post.","LLA, Left : Flex. digi. long","LLA, Left : Flex. hall. long",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Tibial nerve Right",,Misc,Right,"LLA, Right : Gastrocnemius","LLA, Right : Tibialis post.","LLA, Right : Flex. digi. long","LLA, Right : Flex. hall. long",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Tibial nerve",,Misc,Tibial nerve,"LLA, Tibial nerve Left","LLA, Tibial nerve Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Motor",,Misc,Motor,"LLA, Superior gluteal","LLA, Inferior gluteal","LLA, Femoral","LLA, Obturator","LLA, Peronial","LLA, Tibial nerve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Neurological exam of lower limb",,Misc,Neurological exam of lower limb,"LLA, Sensation","LLA, Does the patient have a nerve injury?","LLA, Motor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Muscle Test for Lower Limbs Left",,Misc,Left,"LLA Muscle, Left : Hip flex.","LLA Muscle, Left : Hip ext.","LLA Muscle, Left : Int. Rotation","LLA Muscle, Left : Ext. Rotation","LLA Muscle, Left : Abduction","LLA Muscle, Left : Adduction","LLA Muscle, Left : Knee flex.","LLA Muscle, Left : Knee ext.","LLA Muscle, Left : Ankle dorsiflex.","LLA Muscle, Left : Ankle planterflex","LLA Muscle, Left : Ankle inversion","LLA Muscle, Left : Ankle eversion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Muscle Test for Lower Limbs Right",,Misc,Right,"LLA Muscle, Right : Hip flex.","LLA Muscle, Right : Hip ext.","LLA Muscle, Right : Int. Rotation","LLA Muscle, Right : Ext. Rotation","LLA Muscle, Right : Abduction","LLA Muscle, Right : Adduction","LLA Muscle, Right : Knee flex.","LLA Muscle, Right : Knee ext.","LLA Muscle, Right : Ankle dorsiflex.","LLA Muscle, Right : Ankle planterflex","LLA Muscle, Right : Ankle inversion","LLA Muscle, Right : Ankle eversion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Muscle Test for Lower Limbs",,Misc,Muscle Test for Lower Limbs,"LLA, Muscle Test for Lower Limbs Left","LLA, Muscle Test for Lower Limbs Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Balance Section","Patient is seated in hard, armless chair",Misc,Balance Section,"LLA, Sitting Balance","LLA, Rises from chair","LLA, Attempts to rise","LLA, Immediate standing, balance (first 5 seconds)","LLA, Standing balance","LLA, Nudged","LLA, Eyes closed","LLA, Turning 360 degrees_1","LLA, Turning 360 degrees_2","LLA, Sitting down","LLA, Balance Score",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Gait Section","Patient stands with therapist, walks across room (+/- aids), first at usual pace, then at rapid pace.",Misc,Gait Section,"LLA, Indication of gait","LLA, Step length and height","LLA, Foot clearance","LLA, Step symmetry","LLA, Step continuity","LLA, Path","LLA, Trunk","LLA, Walking time","LLA, Gait Score",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Tinetti Balance Assessment Tool",,Misc,Tinetti Balance Assessment Tool,"LLA, Balance Section","LLA, Gait Section","LLA, Total Score","LLA, Risk of Falls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Pediatric Lower Extremity Function(Mobility) ",Mark one box per row; for each question you can choose the following answers from 4 - 0,Misc,Pediatric Lower Extremity Function (Mobility) ,"LLA, I could get down on my knees without holding on to something","LLA, I could keep up when I played with other kids","LLA, I could walk for 15 minutes","LLA, I could walk between rooms","LLA, I could get on and off the toilet without using my arms","LLA, I could get on and off a low chair","LLA, I could get up from the floor by myself","LLA, I could sit on a bench without support for 15 minutes?","LLA, I could stand on my tiptoes to reach for something","LLA, I could stand on my tiptoes to put something (e.g. a pack of sugar) on a shelf","LLA, I could walk on slightly uneven surfaces (such as cracked pavement)","LLA, I could walk on rough, uneven surfaces (such as lawns/ fields)","LLA, I could walk up and down ramps and hills","LLA, I could walk up and down curbs (steps)","LLA, I could get in and out of a bus","LLA, I could get in and out of a car","LLA, I could walk across the room","LLA, I could walk while wearing a backpack full of books","LLA, I could bend over to pick something up","LLA, I could exercise that others my age can do","LLA Pediatric, Total Score",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Lower Extremity Functional Index (LEFI) ",Mark one box per row; for each question you can choose the following answers from 0 - 4,Misc,Lower Extremity Functional Index (LEFI) ,"LLA, Any of your usual work, housework or school activities","LLA, Your usual hobbies, recreational or sporting activities","LLA, Getting into or out of the bath (into the bathtub)","LLA, Walking between rooms","LLA, Putting on your shoes and socks","LLA, Squatting (Standing or sitting)","LLA, Lifting an object (like a bag of groceries) from the floor","LLA, Performing light activities around your home (changing bulbs, decorating, cleaning)","LLA, Performing heavy activities around your home (gardening, maintenance etc.)","LLA, Getting into or out of a car","LLA, Walking two blocks (~160m)","LLA, Walking a mile (~ 1.6 km)","LLA, Going up or down 10 stairs (about one flight of stairs)","LLA, Standing for one hour (e.g. waiting in a line)","LLA, Sitting for one hour (e.g. wedding)","LLA, Running on even ground","LLA, Running on uneven ground","LLA, Making sharp turns while running fast","LLA, Hopping","LLA, Rolling over in bed","LLA LEFI, Total Score",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Follow-up Plan",,Misc,Follow-up Plan,"LLA, Referral suggested","LLA, Prosthetic and orthotic center","LLA, Physiotherapy center","LLA, Recommended physiotherapy treatment plan","LLA, Home exercises / Family training","LLA, Points to consider / Special concerns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Lower Limb Physiotherapy Assessment,,ConvSet,Lower Limb Physiotherapy Assessment,"LLA, Date recorded","LLA, Type of assessment","LLA, Previous history of physiotherapy","LLA, Details of previous physiotherapy","LLA, Chief complaint of patient","LLA, Problem List","LLA, Affected side","LLA, Independence of Patient","LLA, Does the patient use an assistive device or orthosis?","LLA, Type of assistive device or orthosis","LLA, Other type of assistive device","LLA, Comments about assistive device or orthosis","LLA, Amputee patient?","LLA, Level of amputation","LLA, Leg Length Discrepancy (LLD)","LLA, Pain Assessment","LLA, R.O.M Test for Lower Limbs","LLA, Muscle Test for Lower Limbs","LLA, Neurological exam of lower limb","LLA, Tinetti Balance Assessment Tool","LLA, How old is the patient","LLA, Pediatric Lower Extremity Function(Mobility) ","LLA, Lower Extremity Functional Index (LEFI) ","LLA, Additional comments","LLA, Follow-up Plan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"OS, Vital Signs",,Misc,Vital Signs,"V, Temperature","V, Pulse","V, Respiratory rate","V, Systolic blood pressure","V, Diastolic blood pressure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"OS, Pain Assessment",,Misc,Pain Assessment,"OS, Pain Severity","OS, Side of pain","OS, Site of pain","OS, Site of pain, other","OS, Type of pain","OS, When does the pain occur ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"OS, Drainage Set",,Misc,Drainage,"OS, Side of drain","OS, Site of drain","OS, Drainage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Observation Sheet,,ConvSet,Observation Sheet,"OS, Time recorded","OS, Vital Signs","OS, Pain Assessment","OS, Does the patient have a drain?","OS, Drainage Set","OS, Change Position","OS, Additional Notes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Independence of Patient",,Misc,Independence of Patient,"ULA, Grooming","ULA, Feeding","ULA, Dressing","ULA, Toilet use","ULA, Transfers","ULA, Stairs","ULA, Mobility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Stump circumference",,Misc,Stump circumference,"ULA, From","ULA, cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Level of amputation",,Misc,Level of amputation,"ULA, Type of amputation","ULA, Other type of amputation","ULA, Side of amputation","ULA, Stump circumference","ULA, Comments about stump","ULA, Is the patient using a prostheses?","ULA, Comments about prostheses usage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Pain Assessment",,Misc,Pain Assessment,"ULA, Pain Severity","ULA, Side of pain","ULA, Site of pain","ULA, Site, Other","ULA, Type of pain","ULA, When does the pain occur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, Objective examination",,Misc,Objective examination,"ULA, Wound","ULA, Wound, comments","ULA, Nail color","ULA, Nail","ULA, Nail, comments","ULA, Sweating","ULA, Sweating, comments","ULA, Adhesion","ULA, Adhesion, comments","ULA, Blood supply","ULA, Blood supply, comments","ULA, Arches","ULA, Arches, comments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, R.O.M Test for Upper Limbs Left",,Misc,Left,"ULA, ROM Left : Shoulder flex.","ULA, ROM Left : Shoulder Ext.","ULA, ROM Left : Int. Rotation","ULA, ROM Left : Ext. Rotation","ULA, ROM Left : Abduction","ULA, ROM Left : Adduction","ULA, ROM Left : Elbow Flex. ","ULA, ROM Left : Elbow Ext.","ULA, ROM Left : Forearm Sup.","ULA, ROM Left : Forearm Pron.","ULA, ROM Left : Wrist Flex.","ULA, ROM Left : Wrist Ext.","ULA, ROM Left : Ulnar Dev.","ULA, ROM Left : Radial Dev.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, R.O.M Test for Upper Limbs Right",,Misc,Right,"ULA, ROM Right : Shoulder flex.","ULA, ROM Right : Shoulder Ext.","ULA, ROM Right : Int. Rotation","ULA, ROM Right : Ext. Rotation","ULA, ROM Right : Abduction","ULA, ROM Right : Adduction","ULA, ROM Right : Elbow Flex.","ULA, ROM Right : Elbow Ext. ","ULA, ROM Right : Forearm Sup.","ULA, ROM Right : Forearm Pron.","ULA, ROM Right : Wrist Flex.","ULA, ROM Right : Wrist Ext.","ULA, ROM Right : Ulnar Dev.","ULA, ROM Right : Radial Dev.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"ULA, R.O.M Test for Upper Limbs",,Misc,R.O.M Test for Upper Limbs,"ULA, R.O.M Test for Upper Limbs Left","ULA, R.O.M Test for Upper Limbs Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ULA, Sensation",,Misc,Sensation,"ULA, Summary neurological examination (sensation)","ULA, Summary neurological examination (sensation), comments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
